Winery,Name,Region,Type,Year
Blue Pyrenees Estate,Reserve,Avoca,Cabernet Sauvigon Merlot,1998
Penfolds,BIN 389,"",Shiraz Cabernet,1998
Penfolds,BIN 28,"",Shiraz,1998
Penfolds,BIN 28,"",Shiraz,1996
Penfolds,St Henri,"",Shiraz,1998
Penfolds,St Henri,"",Shiraz,1998
Shottesbrooke,Eliza,"",Shiraz,2000
Shottesbrooke,Eliza,"",Shiraz,2000
Penfolds,St Henri,"Barossa, etc",Shiraz,1999
Peter Lehman,The Futures,Barossa,Shiraz,2001
Peter Lehman,The Futures,Barossa,Shiraz,2001
Saltram,Metala Black,Langhorne Creek,Shiraz,2000
Hanging Rock,Heathcote,Heathcote,Shiraz,2001
Penfolds,Magill Estate,Adelaide,Shiraz,1998
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2001
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2001
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2001
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2001
Penfolds,BIN 407,"",Cabernet Sauvigon,2001
Penfolds,BIN 407,"",Cabernet Sauvigon,2001
Penfolds,BIN 407,"",Cabernet Sauvigon,2001
Penfolds,BIN 407,"",Cabernet Sauvigon,2001
Penfolds,BIN 407,"",Cabernet Sauvigon,2001
Penfolds,BIN 28,"",Shiraz,2001
Penfolds,BIN 28,"",Shiraz,2001
Penfolds,BIN 28,"",Shiraz,2001
Penfolds,BIN 28,"",Shiraz,2001
Penfolds,BIN 28,"",Shiraz,2001
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2001
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2001
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2001
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2001
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2001
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2001
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Johann,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2002
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2002
Blanche Barkly,Mary Eileen,Bendigo,Shiraz,2002
Passing Clouds,The Cabernets,Bendigo,Cabernet Sauvigon/Cabernet Franc,2002
Blanche Barkly,Charlotte Elise,Bendigo,Shiraz,2002
Blanche Barkly,Charlotte Elise,Bendigo,Shiraz,2002
Blanche Barkly,Charlotte Elise,Bendigo,Shiraz,2002
Passing Clouds,The Cabernets,Bendigo,Cabernet Sauvigon/Cabernet Franc,2002
Blanche Barkly,Charlotte Elise,Bendigo,Shiraz,2002
Blanche Barkly,Charlotte Elise,Bendigo,Shiraz,2002
Blanche Barkly,Charlotte Elise,Bendigo,Shiraz,2002
Blanche Barkly,Alexander,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Alexander,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Alexander,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Alexander,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Alexander,Bendigo,Cabernet Sauvigon,2002
Blanche Barkly,Alexander,Bendigo,Cabernet Sauvigon,2002
Penfolds,BIN 28,Barossa,Shiraz,2002
Penfolds,BIN 28,Barossa,Shiraz,2002
Penfolds,BIN 28,Barossa,Shiraz,2002
Penfolds,BIN 28,Barossa,Shiraz,2002
Penfolds,BIN 28,Barossa,Shiraz,2002
Penfolds,BIN 28,Barossa,Shiraz,2002
Penfolds,BIN 407,SA,Cabernet Sauvigon,2002
Penfolds,BIN 407,SA,Cabernet Sauvigon,2002
Penfolds,BIN 407,SA,Cabernet Sauvigon,2002
Penfolds,BIN 407,SA,Cabernet Sauvigon,2002
Penfolds,BIN 407,SA,Cabernet Sauvigon,2002
Penfolds,BIN 389,SA,Cabernet Sauvigon Shiraz,2002
Penfolds,BIN 389,SA,Cabernet Sauvigon Shiraz,2002
Penfolds,BIN 389,SA,Cabernet Sauvigon Shiraz,2002
Penfolds,BIN 389,SA,Cabernet Sauvigon Shiraz,2002
Penfolds,BIN 389,SA,Cabernet Sauvigon Shiraz,2002
Penfolds,BIN 389,SA,Cabernet Sauvigon Shiraz,2002
Wynns,Harold,Coonawarra,Cabernet Sauvigon,2001
Hollick,"",Coonawarra,Cabernet Sauvigon,2002
Brands,"",Coonawarra,Cabernet Sauvigon,2002
Wirra Wirra,RSW,McLaren Vale,Shiraz,2002
Tatachilla,"",McLaren Vale,Shiraz,2001
Fox Creek,JSM,McLaren Vale,Shiraz Cabernet Franc,2002
Pirramimma,"",McLaren Vale,Cabernet Sauvigon,2001
Yalumba,The Signature,Barossa,Cabernet Sauvigon Shiraz,2000
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2003
Penfolds,BIN 28,Barossa,Shiraz,2003
Penfolds,BIN 28,Barossa,Shiraz,2003
Penfolds,BIN 28,Barossa,Shiraz,2003
Penfolds,BIN 28,Barossa,Shiraz,2003
Penfolds,BIN 28,Barossa,Shiraz,2003
Penfolds,BIN 407,"",Cabernet Sauvigon,2003
Penfolds,BIN 407,"",Cabernet Sauvigon,2003
Penfolds,BIN 407,"",Cabernet Sauvigon,2003
Penfolds,BIN 407,"",Cabernet Sauvigon,2003
Penfolds,BIN 407,"",Cabernet Sauvigon,2003
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2003
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2003
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2003
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2003
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2003
Penfolds,BIN 389,"",Cabernet Sauvigon Shiraz,2003
Brown Brothers,"",King Valley,Shiraz Cabernet,1998
Blanche Barkly,Mary,Bendigo,Shiraz,2002
Blanche Barkly,Mary,Bendigo,Shiraz,2002
Blanche Barkly,Mary,Bendigo,Shiraz,2002
Blanche Barkly,Mary,Bendigo,Shiraz,2001
Blanche Barkly,Mary,Bendigo,Shiraz,2001
Blanche Barkly,Mary,Bendigo,Shiraz,2001
d`Arenberg,The Dead Arm,McLaren Vale,Shiraz,2003
Tahbilk,Reserve,Nagambie Lakes,Shiraz,2001
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wynns,"",Coonawarra,Cabernet Sauvigon,2003
Wolf Blass,Black Label,"",Cabernet Sauvigon Shiraz,2002
Wolf Blass,Black Label,"",Cabernet Sauvigon Shiraz,2002
Henschke,Keyneton Estate,"",Cabernet Sauvigon,2003
Henschke,Keyneton Estate,"",Cabernet Sauvigon,2003
Saltram,No. 1,"",Shiraz,2002
Saltram,No. 1,"",Shiraz,2002
Pewsy Vale,"",Eden Valley,Reisling,2006
Pewsy Vale,"",Eden Valley,Reisling,2006
Peter Lehmann,"",Eden Valley,Reisling,2006
Peter Lehmann,"",Eden Valley,Reisling,2006
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,Langhorne Creek,Shiraz Cabernet,2005
Saltram,Metala White,"",Shiraz Cabernet,2004
