Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	Skip Count	Last Skipped	My Rating	Location
We Didnât Start The Fire	Billy Joel		The Essential Billy Joel (Disc 2)		Rock	2323673	290			10		2001	2/13/05 11:56 AM	11/8/05 6:50 PM	64	24000		MPEG audio file			20	1/5/07 6:48 PM	2	1/2/07 6:32 PM		Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Billy Joel:The Essential Billy Joel (Disc 2):10 We Didn_t Start The Fire.mp3
If You Want to Sing Out, Sing Out	Cat Stevens		Classics, Volume 24			2339593	167			12		1987	7/28/06 9:06 AM	6/26/06 11:54 PM	112	44100		MPEG audio file			81	1/5/07 6:50 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Cat Stevens:Classics, Volume 24:12 If You Want to Sing Out, Sing Out.mp3
Don't Let's Start	They Might Be Giants	They Might Be Giants	Then: The Earlier Years		Alternative & Punk	2504322	155	1	2	4	36	1997	12/29/05 10:34 PM	7/27/05 8:43 PM	128	44100		AAC audio file			11	1/5/07 6:53 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:They Might Be Giants:Then_ The Earlier Years:1-04 Don't Let's Start.m4a
The Future Freaks Me Out	Motion City Soundtrack		I Am the Movie		Punk	3651248	216	1	1	3	14	2003	11/22/04 8:14 PM	7/27/05 8:43 PM	128	44100		Protected AAC audio file			12	1/5/07 6:56 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Motion City Soundtrack:I Am the Movie:03 The Future Freaks Me Out.m4p
Breakfast At Tiffany's	Deep Blue Something		Stealth Music Factory		Classical	5034420	251			2	2		2/21/05 9:41 AM	7/27/05 8:43 PM	160	44100		MPEG audio file			10	1/5/07 7:00 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Deep Blue Something:Stealth Music Factory:02 Breakfast At Tiffany's.mp3
I Palindrome I	They Might Be Giants		The Spine Hits the Road		Alternative	2733493	147	1	1	5	11	2004	1/15/06 8:46 PM	7/27/05 8:43 PM	128	44100		Protected AAC audio file			36	1/5/07 7:03 PM			80	Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:They Might Be Giants:The Spine Hits the Road:05 I Palindrome I.m4p
Selfish Man	Flogging Molly		Swagger		Celtic Rock	2813867	176	1	1	2	13	2000	8/21/04 6:15 PM	7/27/05 8:43 PM	128	44100		AAC audio file			8	1/5/07 7:08 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Flogging Molly:Swagger:02 Selfish Man.m4a
XTC vs. Adam Ant	They Might Be Giants		Severe Tire Damage		Alternative	3663180	219	1	1	7	24	1998	1/15/06 7:30 PM	7/27/05 8:43 PM	128	44100		Protected AAC audio file			28	1/5/07 7:12 PM			80	Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:They Might Be Giants:Severe Tire Damage:07 XTC vs. Adam Ant.m4p
Mad World	Gary Jules		(tears for fears cover)			7587150	189						2/16/06 7:36 PM	7/27/05 8:43 PM	320	44100		MPEG audio file			50	1/10/07 11:23 PM	1	12/14/06 11:51 PM		Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Gary Jules:(tears for fears cover):Mad World.mp3
New York City	They Might Be Giants		The Spine In Minneapolis		Alternative	6790490	212			15	27	2004	1/15/06 12:32 PM	7/27/05 8:43 PM	256	44100		MPEG audio file			17	1/7/07 11:42 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:They Might Be Giants:The Spine In Minneapolis:15 New York City.mp3
Hallelujah	John Cale		Scrubs Soundtrack		Other	6713610	279						11/24/06 11:32 PM	11/24/06 11:32 PM	192	44100		MPEG audio file			101	1/15/07 10:10 PM	1	11/25/06 10:42 PM		Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:John Cale:Scrubs Soundtrack:Hallelujah.mp3
Daughters	John Mayer		Heavier Things		Rock	4029026	237	1	1	8	10	2003	1/13/07 3:39 PM	1/13/07 3:39 PM	128	44100		Protected AAC audio file			12	1/19/07 7:28 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:John Mayer:Heavier Things:08 Daughters.m4p
Boom Boom Boom	Vengaboys					2912438	202						12/30/06 11:02 PM	5/16/06 9:30 PM	114	44100		MPEG audio file			46	1/15/07 10:49 PM	3	1/2/07 9:26 PM		Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Vengaboys:Unknown Album:Boom Boom Boom.mp3
Handbags and Gladrags	Rod Stewart		20th Century Masters - The Millennium Collection: The Best of Rod Stewart		Rock	4347409	264	1	1	12	12	1999	3/28/06 5:50 PM	7/27/05 8:43 PM	128	44100		Protected AAC audio file			37	1/10/07 11:20 PM			100	Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:Compilations:20th Century Masters - The Millennium Collection_ The Best of Rod Stewart:12 Handbags and Gladrags.m4p
Give Peace a Chance	John Lennon		Give Peace A Chance			4505683	281						7/15/06 11:03 PM	7/15/06 10:56 PM	128	44100		MPEG audio file			39	1/14/07 11:56 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:John Lennon:Give Peace A Chance:Give Peace a Chance.mp3
World Leader Pretend	R.E.M.		Green		Rock	4316472	259	1	1	5	11	1988	7/27/04 7:43 PM	7/27/05 8:43 PM	128	44100		Protected AAC audio file			14	1/5/07 7:42 PM			80	Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:R.E.M_:Green:05 World Leader Pretend.m4p
Under Pressure	David Bowie & Queen					3868949	241						7/17/06 10:26 PM	6/24/06 3:34 PM	128	44100		MPEG audio file			72	1/15/07 10:11 PM	1	12/30/06 9:35 PM		Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:David Bowie & Queen:Unknown Album:Under Pressure.mp3
It Ends Tonight	The All-American Rejects	Nick Wheeler & Tyson Ritter	Move Along		Alternative	4125108	246	1	1	4	12	2005	1/15/07 5:47 PM	1/15/07 5:47 PM	128	44100		Protected AAC audio file			6	1/19/07 7:24 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:The All-American Rejects:Move Along:04 It Ends Tonight.m4p
End of the Tour	They Might Be Giants		The Spine Hits the Road		Alternative	3713122	208	1	1	11	11	2004	1/15/06 8:53 PM	7/27/05 8:43 PM	128	44100		Protected AAC audio file			11	1/4/07 10:40 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:They Might Be Giants:The Spine Hits the Road:11 End of the Tour.m4p
It's The End Of The World As We Know It	REM		eponymous		Blues	3908098	244					1988	7/3/04 4:42 PM	7/27/05 8:43 PM	128	44100		MPEG audio file			12	1/4/07 10:44 PM				Macintosh HD:Users:cdcarter:Music:iTunes:iTunes Music:REM:eponymous:It's The End Of The World As We Know It.mp3
