host_os,rubygems_version,ruby_version,user_key
cygwin,0.8.10,1.8.4,3dbd8524f2e7f64d77359979000a546da1173d22bd142254413d8aa80583b762
cygwin,0.8.11,1.8.5,2cb87fe11383d56327515632de15763f8b02e2857a75e99fde8c5a26b53425b3
cygwin,0.8.11,1.8.5,54e9a1f08e056f540aec4ccb8dc84a6fef8fbecefa1592ffae639905018f6020
cygwin,0.8.11,1.8.5,a0e833cd4aeba1b7d4ea62c07f360ac86e5b3d917b0616d50fb750382af6fd81
cygwin,0.9.0,1.8.5,09e159c9e68a85066032ca77d083c0759d2341f04c25260ec504c18f9c217ff6
cygwin,0.9.0,1.8.5,8032efb42e224cb0577fe03956abc19b532f1cd375d77fc0f84bd61e836f63c2
cygwin,0.9.0,1.8.5,ccc1ba881b9e573f4c4bec81ae21bf9650c8888cc405d47494156b8d1fac1c35
cygwin,0.9.0,1.8.5,e1ac7c790a54da96924270098ac84a4930f0e20299b2b0ccc06117ff6744bc24
darwin,0.9.0,1.8.4,1193ffd3958af1f79eea54219b83b94660fb4c81fe00aeb193149e0c6ce5e636
darwin7.9.0,0.8.10,1.8.2,824d6adc72557f71a0aa276f573480f61ce7960f551385d558205c9282423036
darwin7.9.0,0.8.11,1.8.4,16f5430fe9092a72169a219afa920b4123c7a1b735be3bb065fc34d4cc9e06cc
darwin7.9.0,0.8.11,1.8.5,e9e248ae2c6ad24bd033bf29a75b237959a5e9dcf6d990ebfe41f006c5b06b76
darwin7.9.0,0.8.5,1.8.2,8ca39e462ad0725a71042f95f826443c24352f176ec8ebf65cc09f39bcbb280d
darwin7.9.0,0.8.5,1.8.2,d1526f87e9e3f98cf493e69a4e476425df0be919a8e12a16255508d88a843574
darwin7.9.0,0.9.0,1.8.4,6b421fc5359841a35799a7dfc238f238cea013ffbf4e1d7c3c3c63e3021242bc
darwin7.9.0,0.9.0,1.8.4,79d4df8502067e19894eca0cf2343b21a35d235095fa3d3fb45d0593e1cc626d
darwin7.9.0,0.9.0,1.8.4,f3ae02edef17c5f2e446cd1453b697ed0d1f90c9fa18f6defd6bfe8a037f6052
darwin7.9.0,0.9.0,1.8.4,ff8ec966c102e4aa6348743ff72a0c5b96d754a6b2962519a951006e1c05e6a4
darwin7.9.0,0.9.0,1.8.5,9863439bc3b81182a36e1acaea945ee0cc3175547914703eea589eeaae65a312
darwin7.9.0,0.9.0,1.8.5,d55de95c305ec79a42c0e923104df2e975ca1a9f834cf1be533cb77e03274562
darwin7.9.0,0.9.0.8,1.8.5,2cdd928c55aaa021dda349362e3884dfbe88bc31b99d5e5f600dad548b153456
darwin8.0,0.8.10,1.8.2,4ba0c82ec594f69a2afae90bc65a6508417bc219b09a9f888d232c614cf88c13
darwin8.0,0.8.11,1.8.2,2ae1e20aac450e1917ccaa95e1b529eba7e59f780a4588b73deb136f29886b00
